UserId,Gender,Age,AnnualSalary,Purchased
662,0,27,89000,0
651,0,32,77500,0
19,1,48,31500,1
634,1,38,81500,0
647,0,62,145500,1
693,0,38,78500,0
728,0,40,75000,0
520,0,57,72500,1
213,1,41,114500,0
142,0,22,89500,0
322,1,40,74500,0
540,1,39,56500,0
743,1,39,73000,0
887,1,41,71000,0
241,0,28,32000,0
701,0,39,62500,0
848,0,25,33000,0
782,0,43,81500,0
877,0,48,74000,1
924,0,37,79000,1
83,0,36,144000,1
369,1,32,16500,0
579,1,51,121500,1
583,0,30,89000,0
919,0,36,39500,0
957,0,30,135000,1
973,1,63,110500,1
521,0,48,90000,1
41,1,36,78500,0
42,0,31,136500,1
327,0,58,61500,1
347,1,22,55000,0
148,1,46,96000,0
443,1,63,48500,1
700,1,33,28000,0
738,0,35,59000,0
527,0,41,87000,1
742,0,26,81000,0
175,1,44,134500,0
335,0,39,120500,1
996,0,52,67500,0
378,1,53,82000,1
655,0,43,74500,1
104,0,51,23000,1
221,1,55,125000,1
786,1,60,35500,1
536,1,38,59500,0
460,0,24,19000,0
710,1,56,106500,1
524,1,56,36500,1
890,0,37,70000,1
46,1,61,109500,1
95,0,44,81500,0
78,1,45,110500,1
402,1,55,40500,1
264,0,51,143500,0
34,0,50,66500,0
522,1,26,118000,0
156,0,19,19000,0
850,0,43,80500,0
99,0,31,90500,0
462,0,39,62500,0
979,1,53,46500,0
432,1,44,65500,0
69,0,47,25000,1
943,1,59,83000,0
381,1,42,52500,0
958,0,38,54500,0
954,1,41,80000,0
612,0,35,88000,0
267,0,52,90500,1
785,1,51,133500,1
557,0,20,49000,0
935,0,45,32000,1
805,0,62,132500,1
554,1,54,144500,1
990,1,49,132500,1
345,1,20,82000,0
172,0,43,63500,0
429,1,27,16500,0
948,1,23,64500,0
89,1,58,95000,1
139,0,61,43500,1
332,0,21,50500,0
70,1,34,42500,0
868,1,19,87500,0
747,0,42,60500,0
542,1,47,75500,0
882,0,20,77500,0
744,0,36,80500,0
498,0,40,78500,0
934,0,40,146500,1
253,1,55,105500,1
620,1,40,64500,0
778,1,28,55000,0
796,0,36,76500,0
532,1,51,45500,0
242,0,48,33000,1
504,1,24,29500,0
569,0,30,149500,1
1000,1,40,76500,1
401,1,62,90500,1
229,0,57,60000,1
91,0,31,74000,0
135,1,27,31000,0
906,0,42,104000,1
605,0,49,90500,1
613,0,36,92500,1
196,0,45,66500,0
167,1,31,34000,0
698,0,42,98500,1
565,1,32,90500,0
669,0,28,59500,0
715,0,37,61500,0
258,1,58,38000,1
604,1,57,28500,1
517,1,51,37500,1
228,1,27,36500,0
987,0,20,20500,0
885,0,50,36500,1
415,1,21,83500,0
357,1,57,110500,1
254,0,40,77500,0
235,1,21,24500,0
282,0,30,44500,0
128,0,42,73500,0
703,1,40,60000,0
131,0,42,65000,0
119,0,43,73500,1
921,1,42,136500,1
881,1,49,36500,1
182,0,21,72000,0
112,1,58,127500,1
342,1,29,88500,0
397,0,27,81500,0
35,1,42,53000,0
145,1,38,80000,0
941,1,34,150500,1
736,1,42,79000,0
68,1,35,44500,0
641,0,35,116500,0
668,1,26,43000,0
673,0,38,81500,0
768,1,42,81500,0
117,1,39,75000,1
633,0,47,43000,0
418,1,28,44000,0
993,1,44,139000,1
902,0,58,75500,1
331,1,32,119500,1
918,1,34,29500,0
622,1,45,131000,1
86,0,31,88500,0
392,0,49,89000,1
162,0,45,56500,0
978,0,26,81500,0
624,0,57,61500,1
640,0,56,133000,1
26,1,47,47000,0
741,1,43,54500,0
704,0,34,44500,0
199,1,20,27500,0
130,1,38,149500,1
179,0,50,29500,1
427,1,49,141000,1
275,0,49,81500,1
330,1,35,77000,0
813,1,28,32500,0
390,1,27,73500,0
774,1,38,113000,1
469,0,49,28000,1
652,0,55,71500,1
729,0,40,79500,0
648,1,20,82000,0
92,1,25,33500,0
904,0,27,82500,0
614,1,51,98500,1
756,1,27,137000,1
316,1,39,113500,0
325,1,37,78000,1
953,0,60,34000,1
675,0,31,18500,0
373,1,47,51000,1
879,0,36,73500,0
806,1,20,36000,0
770,0,40,43500,0
387,1,36,98500,1
394,1,60,43500,0
911,1,45,140500,1
922,0,46,59000,0
419,0,38,24500,0
426,1,41,72000,0
10,0,24,64500,0
547,0,42,79500,0
174,0,19,25000,0
467,0,28,91500,0
502,0,57,134500,1
553,0,33,19500,0
293,0,28,89000,0
719,1,59,96500,1
759,0,43,66500,0
740,0,42,136500,1
87,0,19,85000,0
753,1,61,49500,1
389,0,50,75500,0
792,1,34,43000,0
783,0,44,74500,0
487,1,48,51500,1
84,0,37,74000,0
59,1,37,51500,0
153,0,39,106000,1
920,1,42,31500,0
535,0,63,104500,1
883,1,46,41000,1
750,0,38,71500,1
320,1,52,143500,1
458,1,51,89500,1
396,1,26,15000,0
416,1,32,69500,0
575,0,38,63500,0
659,1,48,114500,1
208,1,41,52500,0
534,0,52,88500,1
97,1,61,47500,1
628,1,62,44500,0
682,1,48,30000,1
970,1,34,70500,0
496,0,29,43000,0
762,0,38,80500,1
495,1,50,52500,1
574,1,58,34500,1
514,1,34,72000,0
873,0,24,21500,0
867,1,42,73500,0
272,1,38,79500,0
383,0,48,24500,1
178,0,46,27500,1
739,1,50,44000,0
47,1,48,48500,0
625,1,29,56500,0
801,0,38,73500,0
615,0,61,35500,1
606,0,43,55500,0
206,1,40,139500,1
997,1,41,143500,1
216,0,36,59500,0
898,1,45,45000,1
77,0,19,70000,0
529,1,43,133000,0
769,0,38,61000,0
845,1,55,92500,1
239,1,54,104000,1
459,0,25,87000,0
949,0,31,76000,0
552,0,60,42000,1
317,1,38,81500,0
692,1,36,72500,0
683,1,45,92500,1
209,1,54,148500,1
187,0,29,60500,0
170,1,23,28000,0
244,0,46,88000,1
512,0,26,30000,0
679,1,39,81500,0
838,0,45,151500,1
224,1,36,51500,0
600,1,40,62500,0
808,0,25,85500,0
171,1,52,147500,1
220,1,30,116000,0
956,0,29,43000,0
936,0,40,65000,0
333,0,20,71500,0
854,0,25,80000,0
58,1,43,81500,1
716,1,53,91500,1
773,1,46,135500,0
835,1,56,84500,1
350,1,26,80000,0
164,0,31,18000,0
379,1,62,31500,1
637,0,42,149000,1
841,0,48,34500,1
205,1,36,66500,0
243,1,31,89000,0
361,1,37,55500,0
269,1,41,57500,0
31,1,28,59500,0
745,0,33,43000,0
880,0,63,36500,1
938,1,50,36000,1
910,1,34,25000,0
284,0,29,33500,0
71,0,42,46500,0
143,0,28,90500,0
452,0,21,88000,0
252,1,53,34000,1
810,1,38,65000,0
541,1,21,68000,0
237,0,41,66500,0
931,1,43,112000,1
664,0,47,89500,1
616,0,38,57500,0
566,1,29,45500,0
853,0,38,71000,0
169,1,47,107000,1
472,1,41,72000,0
865,1,29,85500,0
791,1,37,146000,1
878,0,41,61500,0
271,1,36,148500,1
763,0,26,32000,0
98,0,32,75500,0
621,1,26,72000,0
113,0,42,80500,0
576,0,61,103500,1
862,1,53,139500,1
896,0,43,77500,0
32,1,47,50000,1
871,0,31,50500,0
944,1,49,84500,0
888,1,37,127500,1
761,1,52,90000,1
533,0,46,23000,1
245,0,23,19500,0
102,0,31,16500,0
961,0,35,72000,0
976,1,19,26000,0
685,0,32,120000,1
2,1,38,63500,0
858,1,40,82500,0
434,1,19,69500,0
849,1,22,63000,0
66,1,59,106500,1
795,1,46,46500,1
876,0,48,44500,0
843,0,46,131500,1
537,1,41,51000,0
851,1,58,47000,1
163,0,39,146500,1
141,1,57,105500,1
339,0,35,79000,0
262,1,39,59000,0
210,0,44,130500,1
261,1,34,114500,0
720,1,61,25500,1
725,1,38,58500,0
430,1,42,75000,0
425,1,30,29500,0
506,1,28,37000,0
421,1,53,39500,1
157,0,25,24500,0
214,1,60,46000,1
149,0,52,24500,1
609,0,40,123500,1
754,1,33,69000,0
259,0,27,17500,0
309,1,56,126500,1
246,1,38,50000,0
5,0,41,108500,1
138,1,43,74500,0
140,0,47,80500,1
236,1,38,94500,1
777,1,52,138000,1
708,1,27,96000,1
765,0,40,57000,0
334,1,46,22000,0
198,0,32,18000,0
852,1,32,117000,0
490,0,40,59000,0
548,1,39,56500,0
22,1,56,131500,1
587,1,30,79000,0
96,0,41,76500,0
690,1,61,40500,1
463,0,56,74500,1
799,0,35,39000,0
194,1,48,131000,1
836,1,36,63000,0
314,1,38,138500,1
43,1,51,146000,1
913,1,59,29000,1
72,1,28,85500,0
975,0,40,72500,1
270,0,23,63000,0
315,0,56,40500,1
176,0,41,73500,0
49,0,26,91500,0
36,0,20,26500,0
297,0,24,84000,0
985,1,50,40500,1
158,0,42,65000,0
658,1,27,58000,0
341,1,23,66000,0
718,1,47,83500,0
550,0,49,91500,1
901,1,35,73500,0
151,1,57,26000,1
285,0,39,96000,1
570,1,31,80500,0
833,1,59,24500,1
127,0,40,81500,1
76,1,43,109500,1
915,1,42,70000,0
549,1,35,50000,0
217,1,39,51500,0
582,0,50,29500,1
694,1,32,86000,0
186,0,35,27000,0
518,1,40,135500,1
513,1,20,22500,0
147,0,21,75500,0
491,1,49,135500,1
889,0,36,51500,0
907,0,36,21500,0
601,1,58,132500,1
875,1,44,74500,0
455,0,40,135500,1
526,0,20,86000,0
568,0,28,21500,0
75,0,23,82500,0
930,0,48,41000,1
38,1,43,76500,0
713,1,19,21000,0
515,1,30,62000,0
146,0,32,18000,0
991,1,53,38500,1
377,0,44,54500,0
227,0,37,55000,0
406,0,46,28000,1
21,0,36,62500,0
809,0,54,70000,1
630,1,44,39000,0
507,0,51,92500,1
107,1,47,97500,0
966,1,32,150000,1
481,1,62,78500,1
816,1,25,90500,0
893,1,42,61500,0
986,0,35,58000,0
967,0,25,22000,0
982,0,41,48500,0
803,1,58,23000,1
9,0,46,33500,1
822,0,44,89500,1
360,0,35,108000,0
200,1,44,74500,0
610,1,48,96000,1
593,1,45,55500,0
584,0,41,60500,0
925,1,54,105500,1
410,0,22,18000,0
717,0,18,82000,0
33,0,30,62500,0
115,0,40,61000,0
556,0,41,59000,0
636,0,52,76500,0
947,1,21,16000,0
929,1,27,81500,0
442,0,29,75000,0
159,0,29,61000,0
959,0,27,90000,0
152,0,24,23000,0
256,1,37,80000,0
296,1,26,35000,0
37,1,22,27000,0
144,0,53,72000,1
764,1,27,53500,0
51,0,28,79000,0
523,1,44,74500,0
399,1,43,71500,0
61,0,59,145500,1
329,0,24,55000,0
165,0,31,81500,0
362,1,37,71000,0
195,1,52,135500,0
950,0,60,83000,1
644,0,36,125000,1
188,1,25,28500,0
787,1,29,86500,0
493,1,37,57000,0
53,0,60,42000,1
409,1,60,124500,1
260,1,54,108000,1
3,0,20,74000,0
223,1,45,81500,0
344,1,49,24500,0
18,0,63,44500,1
109,0,47,118500,1
864,1,27,44500,0
474,1,38,52500,0
793,0,55,39000,1
632,1,18,86000,0
300,1,18,68000,0
323,0,61,84500,1
847,1,28,85000,0
326,1,26,52000,0
204,1,36,73500,0
619,0,32,19500,0
727,1,35,25000,0
136,1,54,35500,1
468,1,40,82500,0
706,0,43,55500,0
483,1,46,114500,1
298,1,24,89000,0
897,0,37,144000,1
386,1,46,74000,0
447,0,43,105500,1
677,1,48,52500,1
304,0,42,108500,1
380,0,50,89500,1
914,0,30,49000,0
538,0,33,31000,0
650,0,39,71000,0
702,0,40,54500,0
7,1,51,134000,0
305,1,53,22500,1
393,0,37,100500,1
780,1,40,80500,0
654,0,22,73500,0
870,1,41,115500,1
866,1,45,82500,1
12,0,29,90500,0
137,1,60,89500,1
101,0,38,93500,1
623,1,47,42500,1
290,0,34,112000,1
45,0,30,17000,0
234,1,44,82500,0
307,0,29,80500,0
562,0,29,124500,1
376,1,37,76500,0
711,0,50,25500,1
6,1,36,45500,0
788,1,59,42000,0
643,1,57,33000,1
310,0,49,34500,1
530,0,27,31500,0
318,0,49,42500,1
859,1,30,84500,0
336,0,38,53500,0
709,1,41,60000,0
278,1,43,91500,1
413,1,53,90500,1
749,0,35,55000,0
594,0,50,45500,0
366,0,45,56500,0
201,1,34,61500,0
525,1,42,72500,0
666,1,19,45500,0
29,0,36,40500,0
665,0,48,81500,0
444,1,26,84000,0
57,0,26,88500,0
746,1,36,54000,0
834,1,42,80000,1
995,0,41,58500,0
11,0,40,57000,0
653,1,35,60000,0
358,0,39,101500,1
79,0,35,91000,1
671,1,42,75500,0
872,1,42,73500,0
672,0,38,61000,0
8,1,54,26000,1
129,0,47,105000,1
328,0,37,77000,0
161,0,42,53500,0
368,0,36,89500,0
499,1,35,23000,0
308,0,35,50000,0
771,0,28,89500,0
180,0,27,33500,0
44,0,49,142500,0
265,1,42,61500,0
855,0,41,73500,0
363,1,51,32500,1
840,0,36,52000,0
999,0,60,131500,1
17,0,40,57000,0
133,1,39,65500,0
955,0,33,101500,1
894,0,46,117000,1
503,0,35,73000,0
869,0,60,102000,1
48,1,32,135000,1
617,0,19,76000,0
874,1,39,128500,1
578,1,38,62500,0
312,1,55,23500,1
110,0,35,113500,1
13,0,29,80000,0
734,1,47,113000,1
670,0,41,72000,0
603,1,43,62500,0
189,0,44,54500,0
559,0,30,76500,0
226,1,50,146500,1
837,1,52,114000,0
346,1,28,58500,0
733,1,36,126000,1
306,0,37,52000,0
448,0,59,135500,1
585,0,41,58500,0
726,0,23,20000,0
391,0,25,59500,0
56,1,37,80000,0
286,0,39,122000,1
482,1,60,30500,1
595,1,40,142000,1
100,0,47,24500,1
807,0,36,74500,0
111,0,38,41500,0
939,1,55,27500,1
215,1,60,28500,1
449,0,34,115000,0
55,0,27,87500,0
288,1,33,118500,0
817,1,28,97500,1
543,1,29,83000,0
752,1,33,51000,0
516,1,53,115500,0
856,0,38,76500,0
50,0,37,53000,0
627,0,30,81500,0
657,0,38,145500,1
4,1,48,119000,1
433,1,33,113000,0
238,1,50,142500,1
940,0,45,79000,0
193,0,51,35500,1
80,1,35,72000,0
988,0,41,79000,0
784,1,53,143000,1
475,1,55,109500,1
240,1,46,82000,0
969,1,25,56500,0
580,0,18,52000,0
945,0,58,144000,1
74,1,29,60500,0
486,1,50,20000,1
937,1,36,58500,0
422,0,59,62500,1
359,1,48,47500,1
446,1,50,37500,1
231,1,27,85500,0
688,0,27,16500,0
370,1,24,49500,0
699,1,42,77500,1
122,0,35,44500,0
183,1,44,62500,0
484,0,37,126500,1
431,0,63,44500,1
697,0,41,72500,1
678,0,47,20000,1
899,0,27,88000,0
28,1,56,104000,1
313,0,38,77500,0
251,1,31,68000,0
93,0,50,87500,1
125,0,52,30500,1
811,1,49,97500,1
923,1,38,74500,0
352,1,24,55000,0
635,0,42,124500,1
519,1,46,32000,1
551,1,41,52500,0
374,0,60,62500,1
461,1,40,59500,0
714,1,22,17500,0
776,1,40,95500,1
295,0,40,55500,0
276,1,55,116500,0
602,1,28,18500,0
825,1,27,119500,0
705,0,43,65500,0
364,1,41,76500,0
528,1,37,64500,0
103,0,39,134000,1
60,0,48,141000,0
480,0,37,119500,1
73,0,60,76500,1
301,0,37,53500,0
839,1,38,79500,1
400,0,30,15000,0
340,1,53,22500,1
691,1,58,27500,1
247,1,43,144500,1
64,1,40,80500,1
24,1,37,93000,1
842,0,30,80000,0
497,1,45,72500,0
831,1,45,22000,1
436,1,23,48000,0
67,1,38,50000,0
737,0,26,23500,0
983,1,33,87500,0
218,1,27,54000,0
166,0,43,67500,0
454,0,59,130000,1
437,0,42,53500,0
732,1,31,118000,1
281,0,39,72500,0
827,0,31,66000,0
589,0,35,38000,0
723,1,60,84500,0
909,0,38,56500,0
544,0,61,146500,1
992,0,26,34500,0
638,0,39,127500,1
812,0,36,28500,0
403,0,45,67500,0
656,1,48,35000,1
250,0,41,63500,0
564,0,21,87500,0
598,1,42,90000,1
62,0,25,20500,0
40,0,26,86000,0
767,0,37,72000,0
202,1,40,72500,0
591,1,60,108000,1
207,0,19,53500,0
696,1,54,83500,1
984,0,36,60500,0
586,1,41,67500,0
626,1,37,33000,0
724,0,54,73500,1
354,0,41,53500,0
884,0,56,60000,1
758,0,43,150500,1
545,0,49,119500,1
908,1,39,61000,0
248,1,23,82000,0
355,1,31,63500,0
289,0,35,75000,0
804,1,48,145500,1
618,0,39,77000,0
916,1,42,73500,0
292,1,33,118500,1
488,1,47,49000,1
52,0,40,71000,1
815,1,23,28500,0
473,0,41,58500,0
337,1,35,47000,0
639,1,40,148500,1
932,0,36,76500,0
274,0,46,23500,1
451,0,31,108500,1
63,1,55,140500,1
291,1,52,41500,1
155,0,40,47000,0
751,0,45,106500,1
860,0,36,60000,0
789,0,42,73500,0
303,0,52,91500,1
232,0,36,118000,1
181,1,47,30000,1
560,0,43,66500,0
343,1,58,123500,1
501,1,57,122000,1
464,1,49,31500,1
319,0,49,75500,1
952,0,37,145500,1
356,1,42,64500,0
779,0,45,22000,1
14,0,47,60500,0
192,0,39,35500,0
581,1,35,26500,0
494,1,22,69500,0
981,0,37,34500,0
412,1,61,97500,1
505,1,33,60000,0
16,0,55,152500,1
508,0,36,54500,0
211,0,39,62500,0
818,0,48,35500,1
823,1,32,117000,1
106,0,33,19500,0
900,1,21,83500,0
561,0,39,72500,0
797,1,41,72000,0
989,1,24,27000,0
558,1,51,140500,1
441,0,38,71000,0
963,1,52,21000,1
457,0,34,43000,0
802,0,48,106500,1
470,1,29,28000,0
707,1,59,102500,1
712,1,29,47000,0
283,1,50,49500,0
280,0,38,75500,0
388,1,36,61500,0
781,1,28,59000,0
608,0,43,59500,0
766,0,57,74000,1
177,0,36,109500,0
404,1,49,139500,1
968,1,34,52500,0
212,1,47,141500,1
539,1,35,65000,0
886,0,50,107500,1
748,1,41,73500,0
735,0,50,90500,1
173,1,56,145500,1
592,1,35,57000,0
255,0,40,78000,0
824,1,49,34500,1
631,0,25,90000,0
197,0,36,33000,0
405,1,48,138000,1
798,0,42,54000,0
185,0,51,76500,1
492,0,49,65000,0
731,0,46,80500,0
980,0,27,20000,0
660,0,39,52500,0
479,1,35,97000,1
680,0,47,34000,1
830,1,52,38000,1
150,1,49,30500,1
760,1,36,26500,0
857,0,26,80500,0
927,1,38,34500,0
154,1,48,50500,1
1,0,32,100000,1
933,1,40,75000,0
424,1,42,81500,0
814,0,41,62500,0
184,1,24,83500,0
962,0,52,150000,1
611,1,48,133500,1
114,0,41,52000,0
39,0,19,83500,0
721,0,29,148000,1
642,1,58,101000,1
844,1,36,48500,0
440,0,63,85500,1
577,1,35,44000,0
757,0,22,81000,0
65,1,24,32000,0
124,1,39,71000,0
794,1,31,15000,0
998,1,60,77500,1
287,0,32,59500,0
82,1,46,23500,1
695,1,39,79000,0
946,0,39,60500,0
676,0,42,54000,0
649,1,28,87000,0
477,1,45,77500,0
572,0,48,33000,1
832,1,31,71000,0
302,0,33,121500,1
420,1,27,84000,0
971,0,25,56500,0
382,1,30,48500,0
168,1,24,67500,0
476,1,54,136500,0
951,1,53,104000,1
863,0,38,59000,0
800,1,47,23500,0
407,1,28,138500,1
299,1,48,134000,1
687,1,44,73500,0
